Year,Authors,Title,Publication,Volume,Number,Pages,Publisher,DOIs,Relevant? Cody review,Notes,Found pdf?,Has supplementary materials? (yes/no),Is supplementary material in folder?,Supplementary material file name,Who is looking for this paper? (Initials)
1981,"Storer, Robert W; RW, STORER; ",THE RUFOUS-FACED CRAKE (LATERALLUS XENOPTERUS) AND ITS PARAGAYAN CONGENERS,,,,,,,,Not available,No,No,NA,NA,ERC
1981,"Thorington Jr, Richard W; Heaney, Lawrence R; ",Body proportions and gliding adaptations of flying squirrels (Petauristinae),Journal of Mammalogy,62,1,101-114,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence …",10.2307/1380481,,,Yes,No,NA,NA,ERC
1981,"Tucker, PK; Dowler, RC; Bickham, JW; ",MEIOTIC STUDIES OF HYBRID POCKET GOPHERS (GEOMYS-BURSARIUS),AMERICAN ZOOLOGIST,21,4,991-991,"AMER SOC ZOOLOGISTS 1041 NEW HAMPSHIRE ST, LAWRENCE, KS 66044",,,Citation only,No,No,NA,NA,ERC
1981,"Tucker, Priscilla K; Schmidly, David J; ",Studies of a contact zone among three chromosomal races of Geomys bursarius in east Texas,Journal of Mammalogy,62,2,258-272,The Oxford University Press,10.2307/1380703,,,Yes,No,NA,NA,ERC
1981,"Voss, Robert S; Linzey, Alicia V; ",Comparative gross morphology of male accessory glands among Neotropical Muridae (Mammalia: Rodentia) with comments on systematic implications,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1980,"Burt, William H; Grossenheider, Richard P; ",Peterson field guides: mammals,NY: Houghton Mifflin,,,,,,,Book has to be purchased,No,No,NA,NA,ERC
1980,"Carleton, Michael D; ",Phylogenetic relationships in neotomine-peromyscine rodents (Muroidea) and a reappraisal of the dichotomy within New World Cricetinae.,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1980,"Creighton, G Ken; ",Static allometry of mammalian teeth and the correlation of tooth size and body size in contemporary mammals,Journal of Zoology,191,4,435-443,Wiley Online Library,10.1111/j.1469-7998.1980.tb01475.x,,Don't have access,No,No,NA,NA,ERC
1980,"Kurta, ALLEN; ","Status of the Indiana bat, Myotis sodalis",Michigan. Michigan Academician,13,,31-36,,,,,Yes,No,NA,NA,ERC
1980,"Myers, Philip; Hansen, Rick L; ",Rediscovery of the Rufous-faced Crake (Laterallus xenopterus),The Auk,97,4,901-902,Oxford University Press,,,,Yes,No,NA,NA,ERC
1980,"Tucker, Priscilla Kate; ",Studies of a contact zone among three chromosome races of Geomys bursarius in Eastern Texas,,,,,Texas A&M University,,,Not available,No,No,NA,NA,ERC
1980,"Voss, Robert; Turner, Melvin; Inouye, Richard; Fisher, Martha; Cort, Robin; ","Floral biology of Markea neurantha Hemsley (Solanaceae), a bat-pollinated epiphyte",American Midland Naturalist,,,262-268,University of Notre Dame,0.2307/2424624,,,Yes,No,NA,NA,ERC
1979,"Carleton, Michael D; ",Taxonomic status and relationships of Peromyscus boylii from El Salvador,Journal of Mammalogy,60,2,280-296,The Oxford University Press,10.2307/1379799,,,Yes,No,NA,NA,ERC
1979,"Carleton, Michael D; Eshelman, Ralph E; ","A Synopsis of Fossil Grasshopper Mice, Genus Onychomys, and their Relationships to Recent Species Claude W. Hibbard Memorial Volume VII",,,,,"Museum of Paleontology, The University of Michigan",,,,Yes,No,NA,NA,ERC
1979,"Carleton, Michael D; Myers, Philip; ","Karyotypes of some harvest mice, genus Reithrodontomys",Journal of Mammalogy,60,2,307-313,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence …",10.2307/1379801,,,Yes,No,NA,NA,ERC
1979,"Gingerich, Philip D; ",The stratophenetic approach to phylogeny reconstruction in vertebrate paleontology,Phylogenetic analysis and paleontology,,,41-78,Columbia University Press,10.7312/crac92306-004,,,Yes,No,NA,NA,ERC
1979,"Gingerich, Philip D; Winkler, Dale A; ","Patterns of variation and correlation in the dentition of the red fox, Vulpes vulpes",Journal of Mammalogy,60,4,691-704,The Oxford University Press,10.2307/1380186,,,Yes,No,NA,NA,ERC
1979,"Heaney, Lawrence R; ",A new species of tree squirrel,Proc. Biol. Soc. Wash,92,2,280-286,,,,,Yes,No,NA,NA,ERC
1979,"Izor, Robert J; ",Winter range of the silver-haired bat,Journal of Mammalogy,60,3,641-643,"American Society of Mammalogists, Oxford University Press",10.2307/1380114,,,Yes,No,NA,NA,ERC
1979,"Kirkland, Gordon L; Van Deusen, Hobart M; ",The shrews of the Sorex dispar group: Sorex dispar Batchelder and Sorex gaspensis Anthony and Goodwin. American Museum novitates; no. 2675,,,,,"New York, NY: American Museum of Natural History",,,,Yes,No,NA,NA,ERC
1979,"Myers, Philip; Wetzel, Ralph M; ",New records of mammals from Paraguay,Journal of Mammalogy,60,3,638-641,"American Society of Mammalogists, Oxford University Press",10.2307/1380113,,,Yes,No,NA,NA,ERC
1979,"Voss, Robert; ",Male accessory glands and the evolution of copulatory plugs in rodents,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1978,"Evans, Francis C; ","Lee Raymond Dice,(1887-1977)",,,,,American Society of Mammalogists,10.2307/1380249,,,Yes,No,NA,NA,ERC
1978,"Heaney, Lawrence R; ",Island area and body size of insular mammals: evidence from the tri-colored squirrel (Callosciurus prevosti) of Southeast Asia,Evolution,,,29-44,Society for the Study of Evolution,10.2307/2407408,,,Yes,No,NA,NA,ERC
1978,"Heaney, Lawrence R; Hoffmann, Robert S; ","A second specimen of the neotropical montane squirrel, Syntheosciurus poasensis",Journal of mammalogy,59,4,854-855,The Oxford University Press,10.2307/1380151,,,Yes,No,NA,NA,ERC
1978,"Heaney, Lawrence R; Thorington, Richard W; ","Ecology of Neotropical red-tailed squirrels, Sciurus granatensis, in the Panama Canal Zone",Journal of Mammalogy,59,4,846-851,"American Society of Mammalogists, Oxford University Press",10.2307/1380149,,,Yes,No,NA,NA,ERC
