"Welcome to the latest survey and directory of existing mammal collections in the Western Hemisphere of the World.  The file here represents a work in progress, and we welcome any and all comments, particularly those that can help the Systematic Collections Committee improve the accuracy of this list.  You will note two font colors in the Excel file: black and green.  The collections listed in green are those for which we have received no updated data regarding that collection during the current survey.  Thus the information presented here is that of the last time data was received (either in 1987 or 1997).  Please contact Bill Stanley (bstanley@fieldmuseum.org) with any comments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,State or Province ,Formal collection title ,Formal collection acronym ,Collection address ,Collection address1 ,Collection address2 ,City,State,Zip,Country,Collection website address ,Name of Curator or Person in Charge ,Telephone number of the above person ,Fax number of the above person ,E-mail address of the above person ,Name of additional contact person ,Telephone number of additional contact person ,Fax number of additional contact person ,E-mail address of additional contact person ,Total number of cataloged specimens in collection ,Number of holotypes in collection ,Taxonomic strength or emphasis of collection ,Geographic strength or emphasis of collection ,Number of mammalian tissues in collection ,Type of tissue preservation ,Names of other collections that have been incorporated into this collection,Is collection electronically databased? ,Is electronic database accessible to the public?  ,How is electronic database accessed by the public?,Former acronyms,Date(s) of accreditation,Last response,SCC Contributor,Comments
Argentina,,"Museo de Ciencias Naturales y Antropológicas ""Prof. Juan C. Moyano""",MJCM,,Colección de Mamíferos,Plaza de la Independencia,5500,Mendoza,,Argentina,,Kett Bohm de Saurina,,,,,,,,597,,,northcentral Argentina,,,,no,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Buenos Aires,Museo de La Plata,MLP,"Sección Mastozoología, División Zoología Vertebrados, Museo de La Plata, Paseo del Bosque S/Nº, La Plata (B1900FWA), Buenos Aires, Argentina
 ",,,La Plata (B1900FWA),Buenos Aires,,Argentina,http://www.fcnym.unlp.edu.ar/museo/,Diego H. Verzi,54-221-4257744 (135),54-221-4257527,dverzi@fcnym.unlp.edu.ar,Mariano L. Merino,54-221-4257744 (146),54-221-4257527,mlmerino@fcnym.unlp.edu.ar,5939,3,rodents and xenarthrans,Pampean and Patagonian regions of Argentina,,,,yes,no,,,,this survey,Alvarez-Castañeda,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Buenos Aires,Coleccion Mastozoologica - Museo de Mar del Plata,MMPMa,,,"Avenida Libertad 3099, Plaza España",Mar del Plata,Buenos Aires,7600,Argentina, ,Lic. Mariano Damian Romero,54-0223-4738791, ,dromeromuseo@yahoo.com.ar,,,,,5000,1,"rodentia, caviomorpha, marsupials",Argentina,some,liver in 96% alcohol, ,yes,no,contact via e-mail, , ,this survey,Iudica,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Santa Fe,"Museo Florentino Ameghino, Colección Mastozoologíca",MFA-ZV-M,,Sección Zoología de Vertebrados,Primera Junta 2859,Santa Fe,Santa Fé,3000,Argentina,www.unl.edu.ar/santafe/museocn.htm,Edelvita A. Fioramonti,54-0342-4573730, ,ameghino@ceride.gov.ar,Andres Pautasso,54-0342-4556215, ,andrespautasso@yahoo.com.ar,729,0,"chiroptera, rodents, carnivores",NE Argentina,they started collecting on 2005,not specified, ,look at www.unl.edu.ar/santafe/museocn.htm,yes,through a series of publications, , ,this survey,Iudica,the director sent me documentations that I can make available to interested parties
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,Museo Provincial de Historia Natural de La Pampa,RVP,,Colección de Mamíferos,"Pellegrini 180, Santa Rosa",6300,La Pampa,,Argentina,,Sergio Tiranti,54-95-422693,,,,,,,220,,rodents,Province of La Pampa in westcentral Argentina,,, ,no,,,,,"Hafner et al., 1997",,collection contains several chromosome slides
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Cordoba,"Universidad Nacional de Rio Cuarto, Colección de Mamíferos",CUNRC,,Universidad nacional de Rio Cuerto,Agencia Postal #3,Rio Cuarto,Cordoba,5800,Argentina,,Jaime J. Polop,54-50358-4676236,54-50358-4676230,jpolop@exa.unrc.edu.ar,Maria Cecilia Provensal,54-50358-4676236,54-50358-4676230,cprovensal@exa.unrc.edu.ar,2100,0,rodents,central Argentina, , , ,no, , , , ,this survey,Iudica,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,Colección de Mamíferos Lillo,CML,Facultad de Ciencias Naturales e Instituto Miguel Lillo,Universidad Nacional de Tucumán,Miguel Lillo 251,San Miguel de Tucuman,Tucumán,4000,Argentina,,Rubén Marcos Barquez,54-381-4331339,,rubenbarquez@arnet.com.ar,David A. Flores,54-381-4230056,,dflor@gmail.com,7500,,"Small mammals (Didelphimorphia, Rodentia, Chiroptera)",Northern Argentina,200,Alcohol 96%,,yes,yes,Excel,,,this survey,Alvarez-Castañeda,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Río Negro,"Centro Regional Universitario Bariloche, Universidad Nacional del Comahue",CRUBM,Colección de Mamíferos del Centro Regional Universitario Bariloche,"Centro Regional Universitario Bariloche, Universidad Nacional del Comahue",Quintral 1250,Bariloche,Río Negro,8400,Argentina,,Hernán Pastore,54 2944 428505,54 2944 428505,hpastore@crub.uncoma.edu.ar,,,,,250,,Mostly Patagonian mammals,"Patagonia, Argentina",,Alcohol 96%,,yes,yes,Excel,,,,Alvarez-Castañeda,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,La Paz,Colección Boliviana de Fauna,CBF,Mastozoología,Calle 26 s/n Cota-Cota,Casilla de Correo 8706,La Paz, ,,Bolivia,www.insteco-bol.org,Rosa Julieta Vargas Mattos,591-2-2795364,591-2-770876,jvargasm70@gmail.com, ,,, ,7759,"8 (have CBF numer, but not present at the Collection)","rodents, bats, and marsupials",Bolivia,,alcohol,"Museo Nacional de Historia Natural de Bolivia; Colección de Vertebrados, Instituto de Ecología, Universidad Mayor de San Andrés",yes,no,,,,this survey,Salazar-Bravo,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,"Museo de Historia Natural ""Noel Kempff Mercado""",MHNNKM,Sección de Mastozoología,"Avenida Irala 565, entre Ejercito y Velarde",Casilla Postal 2489,Santa Cruz de la Sierra,,,Bolivia,www.museonoelkempff.org,Lic. Norka F. Rocha S.,591-3-3578166, ,norkarocha@yahoo.com.mx,Huascar Azurduy F./ Luis H. Acosta S.,,,hazurduy@museonoelkempff.org / l.jubatus@gmail.com,3730,1,bats,Bolivia,,alcohol,,no,,,,,this survey,Salazar-Bravo,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Cochabamba,Colección de Fauna Centro de Biodiversidad y Genética,CCBG,"Segundo Bloque - Segundo piso, Departamento de Biología, Facultad de Ciencias y Tecnología",Universidad Mayor de San Simon,Casilla 538,Cochabamba, ,,Bolivia,www.fcyt.umss.edu.bo/investigacion/biodiversidad,Fernando Daniel Alfaro,591-4-4481682/591-4-4540796/591-7-0779539,591-4-4540364,nanoalfaro@gmx.net,,,,k_moya@yahoo.com,265,1,rodents and bats,"Andina, Amazonica, Yunga y Valles Secos",,,A donation of specimens from Argentina,yes,no,,,,this survey (NEW COLLECTION),Salazar-Bravo,"NEW COLLECTION (not listed in Hafner et al., 1997))"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,Museu de Biologia Mello Leitão,MBML,,,29.650 Santa Teresa,Espiritu Santo,,,Brazil,,Sergio Lucena Mendes,55-27-259-1182,55-27-259-1182,,Devanir Loss,,,,2100,,,Brazil,,,,no,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,Museu de Ciências Naturais,MCN,"Coleção de Mastozoologia, Fundação Zoobotânica do Rio Grande do Sul",Avenida Salvador França 1427,90.690 Porto Alegre,Rio Grande do Sul,,,Brasil,,Jorge Ferigolo,55-51-336-1511,55-51-336-1778,,Cesar Jaeger Drehmer,,,,2962,,,Rio Grande do Sul and Ceará,,,,no,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,"Museu de Historia Natural ""Capão de Imbuia""",MHNCI,Seção de Mastozoologia,Rua Benedito Conceição 407,82.810-080 Curitiba,Parana,,,Brasil,,Vanessa Guerra Persson,,,,Michel Miretzki,,,,3000,,"bats, rodents",State of Panama,,,,no,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,"Universidade de Sao Paulo, Museu de Zoologia",MZUSP,Seção de Mamiferos,"Caixa Postal 7172, 01064-970",,São Paulo,,,Brasil,,Heraldo A. Britski,55-11-274-2455,55-11-274-3690,,,,,,28300,,,Brazil,,,,no,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,"Universidade Federal do Rio de Janeiro, Museu Nacional",MN,"Coleção de Mamiferos, Museo Nacional",Universidade Federal do Rio de Janeiro,"Quinta de Boa Vista, 20.940-040",Rio de Janeiro,,,Brasil,,Luiz Flamarion de Oliveira,55-21-264-8262,55-21-254-4320,LFBOMN@omega.lncc.br,Joao Alves de Oliveira,,,jaoliv@omega.lncc.br,90000,several,"primates, rodents",Brazil,,,,no,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Alberta,Banff Park Museum National Historic Site of Canada,BPM NHSC,,93 Banff Avenue,Box 900,Banff,Alberta,T1L 1K2,Canada,http://www.pc.gc.ca,Steve Malins,403-762-1557,403-762-1565,steve.malins@pc.gc.ca,Michael Gair,403-762-1573, ,michael.gair@pc.gc.ca,118,0,Historic collection composed primarily of taxidermy mounts,"Rocky Mountains National Park; most were collected by Norman Bethune Sanson, curator from 1896-1932",0,, ,no,no,,,,this survey,Carraway,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Alberta,The Provincial Museum of Alberta,**use no acronym**,,,12845 - 102 Avenue,Edmonton,Alberta,T5N 0M6,Canada,www.pma.edmonton.ab.ca,David Gummer,780-453-9125,780-454-6629,david.gummer@gov.ab.ca,Bill Weimann,780-453-9180,,bill.weimann@gov.ab.ca,12450,0, ,province of Alberta and adjacent jurisdictions in western North America,500,frozen (-85ºC), , ,,,PMA,1985,this survey,Carraway,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Alberta,"University of Alberta, Museum of Zoology",UAMZ,,Mammal Collection,University of Alberta,Edmonton,Alberta,T6G 2E9,Canada,,,,,,,,,,8000,,,,,,,,,,,1985,"Yates et al., 1987",Carraway,DID NOT RESPOND TO E-MAIL OR SNAIL-MAIL INQUIRIES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,British Columbia,Cowan Vertebrate Museum,UBC,Department of Zoology,University of British Columbia,6270 University Boulevard,Vancouver,British Columbia,V6T 1Z4,Canada,,Rex D. Kenner,604-822-4665,604-822-2416,vertmus@zoology.ubc.ca,James N.M. Smith,604-822-3363,604-822-2416,smith@zoology.ubc.ca,17000,0,,"British Columbia and Yukon Territory, Canada",,,"Kenneth Racey Collection, A.C. Brooks Collection",yes,no,via contact with the curator,,1975,this survey,Olson,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,British Columbia,Kelowna Museum,KM, ,Kelowna Museum Association,470 Queensway Ave.,Kelowna,British Columbia,V1Y 6S7,Canada,www.kelownamuseum.ca,Tracy Satin,250-763-2417 ext. 26,250-763-5722,conservation@kelownamuseum.ca,Rachael Fleming,250-763-2417 ext. 29,250-763-5722,registrar@kelownamuseum.ca,751,0,,,,,,no,no, ,,,this survey,Olson,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,British Columbia,Royal British Columbia Museum  (formerly British Columbia Provincial Museum),RBCM,Natural History Collections Section,Royal BC Museum,675 Belleville Street,Victoria,British Columbia,V8W 9W2,Canada,www.royalbcmuseum.bc.ca,Gavin Hanke,250-952-0479,250-387-0534,ghanke@royalbcmuseum.bc.ca,Lesley M. Kennes,250-387-1216,250-387-0534,lkennes@royalbcmuseum.bc.ca,20000,24, ,British Columbia,,,,yes,yes,http://objectdb.royalbcmuseum.bc.ca/,BCPM,1976,this survey,Olson,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Manitoba,The Manitoba Museum,MMMN ,,,190 Rupert Avenue,Winnipeg,Manitoba,R38 0N2,Canada, ,Randall D. Mooi,204-988-0659,204-942-3679,rmooi@manitobamuseum.ca,Janis Klapecki,204-988-0620,,jklapecki@manitobamuseum.ca,22700,0,"70 families represented, but almost half of specimens are Muridae (10,700), then Soricidae (4,400), Mustelidae (2,400), and Sciuridae (2,000)","regional (19,500) Manitoba); 2,200 from elsewhere in Canada), but 20+ countries represented", ,,"Delta Waterfowl Research Station, Atomic Energy of Canada Ltd., Whiteshell Nuclear Research Establishment (WNRE), University of Manitoba Zoological Museum UMAN, in part)",yes,yes,only via curator or collection manager,,,this survey,Carraway,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Manitoba,Riding Mountain National Park,RMNP,,, ,Wasagaming,Manitoba,R0J 2H0,Canada, ,"Head, Resource Management",204-848-7222,204-848-2866, , , ,, , , , ,local emphasis, ,, , , , ,,,"Hafner et al., 1997",Stanley,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Manitoba,"University of Manitoba, Zoological Collection",UMAN,,Department of Zoology,University of Manitoba,Winnipeg,Manitoba,R3T 2N2,Canada, ,"William O. Pruitt, Jr.",204-474-7944,204-474-7588,pruittjr@cc.umanitoba.ca,,,,,300,0,Specimens used for teaching only. All scientific specimens were donated to the Manitoba Museum of Man and Nature (MMMN),,0,, ,no,no,,,,this survey,Carraway,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,New Brunswick,New Brunswick Museum,NBM,,,277 Douglas Avenue,Saint John,New Brunswick,E2K 1E5,Canada,,Donald F. McAlpine,506-643-2345,506-643-2360,,,,,,6000,,cetacea,New Brunswick,,,N. Rae Brown Collection (NRBC),,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Nova Scotia,"Acadia University, Wildlife Museum",AUW,,Department of Biology,Acadia University,Wolfville,Nova Scotia,B0P 1X0,Canada,,Michael J. Dadswell,902-542-2201,902-542-3466,dadswel@acadiau.ca,Ian MacDonald,,,,2100,,,,,,,,,,AUM,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Nova Scotia,Nova Scotia Museum of Natural History,NSM,,,1747 Summer Street,Halifax,Nova Scotia,B3H 3A6,Canada,,Frederick Scott,902-424-7370,902-424-0560,can-nsmz@immedia.ca,Alex Wilson,,,,1980,,,,,,,,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Algonquin Park Museum (formerly Algonquin Provincial Park),APM,Algonquin Park Visitor Center,Ministry of Natural Resources,Box 219,Whitney,Ontario,K0J 2M0,Canada,,Dan Strickland,613-637-2828,613-637-2138,strickdd@epo.gov.on.ca,Ron Tozer,,,tozerrr@epo.gov.on.ca,354,,,local emphasis (Algonquin Park),,,,,,,APP,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Canadian Museum of Nature (formerly National Museum of Natural Sciences),CMN,,Mammal Collection,"P.O.Box 3443 Station ""D""",Ottawa,Ontario,K1P 6P4,Canada,,Darlene Balkwill,613-952-0827,613-954-6439,dbalkwill@mus-nature.ca,David Campbell,613-954-4949,,dcampbell@mus-nature.ca,53000,58,"significant holdings of Canadian species, Nearctic species, and North Atlantic cetaceans",,,,"Wistar Institute Collections (part), C. H. Buckner Collection, Leo Jobin Collection, Arthur Martel Collection, and the collection of the Arctic Biological Station",,,,NMC,"1975, 1987","Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Ontario,"Carleton University, Museum of Zoology",CUMZ,Department of Biology,Carleton University,1125 Colonel By Drive,Ottawa,Ontario,K1S 5B6,Canada,,Donald A. Smith,613-788-2600,613-788-4497,,,,,,12000,,,,,,Donald A. Smith Collection,,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Ministry of Natural Resources,MNR,,Wildlife Resources,P.O. Box 5000,Maple,Ontario,L6A 1S9,Canada,,Ed Addison,905-832-7124,905-832-7149,addisoed@epo.gov.on.ca,,,,,2419,,skeletal material of carnivores of Ontario,,,,,,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Rondeau Provincial Park,RPPMC,,,Rural Route 1,Morpeth,Ontario,N0P 1X0,Canada,,Pamela Burns,519-674-1768,519-674-1755,,,,,,150,,,southern Ontario,,,,,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Ontario,Royal Ontario Museum,ROM,Department of Natural History,Mammalogy Section,100 Queen's Park,Toronto,Ontario,M5S 2C6,Canada,www.rom.on.ca,Judith L. Eger,416-586-5767,416-586-7921,judithe@rom.on.ca,Mark D. Engstrom,416-586-5517,416-586-7921,marke@rom.on.ca,110000,19,"comprehensive, worldwide collection of bats","significant holdings of mammals of Ontario, the northern Neotropics, and southeast Asia",20000,frozen,"O. J. Barton, J. G. Williams, R. G. Lanning, R. E. Mumford, R. Brooman, D. A. Smith collections ",yes,yes,Manis,,"1975, 1995",this survey,Lim,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Ontario,University of Guelph,UGDZ,,Department of Zoology,University of Guelph,Guelph,Ontario,N1G 2W1,Canada,,E. Graham Nancekivell,519-824-4120,519-767-1656,,,,,,2086,,,regional emphasis,,,,,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Quebec,"McGill University, Redpath Museum",RM,,,859 Sherbrooke Street West,Montreal,Quebec,H3A 2K6,Canada,,Delise Alison,514-398-4092,514-398-3185,,,,,,4000,,small mammals of Quebec,,,,,,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Quebec,"Université Laval, Collection de Vertébrés (formerly Musee Prorancher)",CVUL,,Department of Biology,Laval University,Sainte-Foy,Quebec,G1K 7P4,Canada,,Jean-Marie Perron,418-656-2497,418-656-7925,,,,,,3900,,,regional emphasis,,,,,,,MP,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Saskatchewan,Royal Saskatchewan Museum (formerly Saskatchewan Museum of Natural History),RSM,,,2340 Albert Street,Regina,Saskatchewan,S4P 3V7,Canada,,David Baron,306-787-2814,306-787-2645,,,,,,3200,,Saskatchewan,regional emphasis,,,,,,,SMNH,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Saskatchewan,University of Regina,USRC,,Biology Department,University of Regina,Regina,Saskatchewan,S45 0A2,Canada,,D. M. Secoy,306-585-4231,306-585-4894,,,,,,250,,collection used for teaching only,,,,,,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Santiago,Colección de Flora y Fauna Profesor Patricio Sánchez Reyes,SSUC,Pontificia Universidad Catolica de Chile,Campus Casa Central,"Alameda Bernardo O'Higgins, No 340",Santiago,,,Chile,www.bio.puc.cl,Patricio Zavala Fernández,562-354-2728,562-354-2621,Sasistem@puc.cl,Eduardo Palma Vásquez,,,epalma@bio.puc.cl,2000,,rodents,"Center and South of Chile and Patagonia, but the collection also has some speciemens from the north of Chile",,frozen,,yes,no,,,,this survey (NEW COLLECTION),Salazar-Bravo,"NEW COLLECTION (not listed in Hafner et al., 1997)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,Museo de Historia Natural de Concepción,MHNC,Colección Mastozoológica,Maipú 2359,Casilla de Correo 1054,Concepción,,,Chile,,Juan Franklin Troncoso,56-41-310932,56-41-310932,,,,,,123,,mostly taxidermy displays,,,,,,,,,,"Hafner et al., 1997",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Valparaiso,"Museo de Historia Natural de Valparaiso, Colección de Mamíferos",MHNV,"Colección de Mamíferos, Museo de Historia Natural de Valparaiso",Condell 1546,Casilla 3208 Correo 3,Valparaiso,,,Chile,,Sergio Quiroz Jara,56-32-257441,56-32-213375,museo_historia_natural@hotmail.com,,,,,1300,,lagomorphs and rodents,Central Chile,,,,,,,,,this survey,Salazar-Bravo,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Santiago de Chile,Museo Nacional de Historia Natural,MNHN,Colección Mastozoológica,"Sección Zoología, Museo Nacional de Historia Natural",Casilla 787,Santiago de Chile,,,Chile,www.mnhn.cl,José Yañez,56-2-6804661,56-2-6804602,jyanez@mnhn.cl,,,,mramirez@mnhn.cl,1633,18,,exclusively Chilean mammals,,,,yes,no,,,,this survey,Salazar-Bravo,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Valdivia,"Universidad Austral de Chile, Instituto de Ecología y Evolución, Colección de Mamíferos",IEEUACH,"Colección de Mamíferos, Instituto de Ecología y Evolución",Universidad Austral de Chile,Casilla 567,Valdivia,,,Chile,,Milton H. Gallardo,56-63-221469,56-63-221344,mgallard@uach.cl,,,,,7050,,rodents,southern Chile,,frozen and alcohol,,,,,,,this survey,Salazar-Bravo,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,"Universidad de Chile, Laboratorio de Citogenética de Mamíferos",LCM,Departamento de Biología Y Genética,"Facultad de Medicina, Universidad de Chile","Independencia 1027, Casilla 70061, Medicina Norte",Santiago 7,,,Chile,,Angel Spotorno,56-2-6786469,56-2-7373158,aspotorn@med.uchile.cl,Laura Walker,,,,2000,,rodents,,,frozen and alcohol,,yes,yes,aspotorn@med.uchile.cl,,,this survey,Salazar-Bravo,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,"Museo de Zoologia de la Universidad de Concepción, Colecciones Cientificas de Referencia",MZUC-UCCC,"Museo de Zoología, Departamento de Zoología",Facultad de Ciencias Naturales y Oceanográficas,"Universidad de Concepción, Casilla 160-C",Concepción,,,Chile,,Jorge N. Artigas,56-41-203880,56-41-238982,mzuc@udec.cl,Elvira Solar Salazar/Minerva Contreras Garrido/Jorge N. Artigas,,,elsolar@udec.cl / jartigas@udec.cl,1899,,,exclusively Chilean mammals,,alcohol (70%),,yes,no,,,,this survey,Salazar-Bravo, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
